id,lastLevel,totalSessions,dailySessions,totalAge,winRate,target
56169,41,16,2,99,0.9149,0.3139
56170,163,59,2,69,0.7219,0.2556
56171,48,51,6,7,0.8399,0.0
56172,10,6,3,6,1.0,0.2286
56173,47,9,4,17,0.9722,0.2402
56174,170,953,8,122,0.4671,0.3131
56175,9,4,2,13,1.0,0.2348
56176,2,2,1,1,1.0,0.0
56177,12,1,1,0,1.0,0.0
56178,1,1,1,0,1.0,0.0
56179,21,5,2,2,1.0,0.2243
56180,3,1,1,0,0.8333,0.0
56181,6,3,1,7,1.0,0.2266
56182,10,1,1,0,1.0,0.0
56183,1,3,1,4,1.0,0.2228
56184,16,9,2,4,0.8941,0.0
56185,4,2,2,0,1.0,0.0
56186,283,11,3,74,0.8433,0.3001
56187,51,63,5,78,0.8865,0.2923
56188,4,4,1,0,1.0,0.0
56189,12,9,2,11,0.8519,0.0
56190,23,7,1,11,0.8958,0.0
56191,9,2,2,0,1.0,0.0
56192,27,7,2,68,0.6543,0.0
56193,14,3,1,1,0.9333,0.0
56194,617,6,1,8,0.9667,0.2912
56195,450,308,9,46,0.6281,0.2651
56196,1,1,1,0,1.0,0.0
56197,35,7,1,8,0.3333,0.0
56198,11,1,1,0,1.0,0.0
56199,17,6,2,16,0.8426,0.0
56200,113,73,2,130,0.6656,0.3044
56201,1032,1,1,0,1.0,0.3375
56202,161,30,4,101,0.7314,0.2931
56203,1,1,1,0,1.0,0.0
56204,74,79,3,56,0.8717,0.2662
56205,22,4,4,0,1.0,0.2246
56206,1,1,1,0,1.0,0.0
56207,24,7,2,12,0.9792,0.231
56208,1,1,1,0,1.0,0.0
56209,12,7,3,2,0.8125,0.0
56210,1,1,1,0,1.0,0.0
56211,3,1,1,0,1.0,0.0
56212,5,1,1,0,1.0,0.0
56213,23,7,1,5,0.95,0.0
56214,15,13,2,6,0.9653,0.0
56215,23,4,4,0,0.4167,0.0
56216,55,25,3,18,0.9381,0.2343
56217,10,5,1,20,0.9,0.0
56218,275,23,4,16,0.0,0.0
56219,138,1243,11,114,0.4241,0.3104
56220,588,49,4,90,0.9608,0.3816
56221,2,1,1,0,1.0,0.0
56222,1059,3,1,0,1.0,0.3407
56223,395,26,3,124,0.688,0.3342
56224,3,1,1,0,1.0,0.0
56225,29,10,2,3,0.8707,0.0
56226,52,19,3,6,0.919,0.0
56227,1,2,2,0,1.0,0.0
56228,204,7,1,22,0.4532,0.0
56229,10,3,1,2,1.0,0.2216
56230,56,22,1,99,0.9411,0.3204
56231,6,6,6,0,1.0,0.2254
56232,55,32,10,2,0.8507,0.0
56233,43,12,3,4,0.8178,0.0
56234,20,2,1,3,1.0,0.2238
56235,2,1,1,0,1.0,0.0
56236,1,1,1,0,1.0,0.0
56237,6,4,2,3,1.0,0.2236
56238,2,8,2,349,1.0,0.5989
56239,83,3,1,1,0.9091,0.0
56240,3,1,1,0,1.0,0.0
56241,32,11,2,13,0.9141,0.0
56242,25,29,2,32,0.619,0.0
56243,8,2,1,7,0.9375,0.0
56244,34,15,2,8,0.8269,0.0
56245,1,2,2,0,1.0,0.0
56246,22,17,1,24,0.9773,0.2427
56247,24,7,1,42,0.96,0.2582
56248,66,1,1,0,0.5,0.0
56249,41,6,1,15,0.9317,0.2246
56250,7,4,2,209,1.0,0.4473
56251,1,1,1,0,1.0,0.0
56252,9,3,3,0,1.0,0.2218
56253,26,3,1,7,0.963,0.0
56254,14,6,6,0,1.0,0.2263
56255,23,10,1,9,0.9375,0.0
56256,23,16,2,75,0.8778,0.2776
56257,153,3,1,3,0.8,0.0
56258,3,2,2,0,1.0,0.0
56259,58,44,2,71,0.9063,0.2851
56260,49,12,3,5,0.9329,0.0
56261,11,7,1,16,1.0,0.2372
56262,22,12,1,8,0.9565,0.0
56263,1,1,1,0,1.0,0.0
56264,130,20,1,283,0.6744,0.4704
56265,29,3,1,54,0.9667,0.273
56266,1,1,1,0,1.0,0.0
56267,6,4,2,0,0.8929,0.0
56268,16,30,6,6,0.6056,0.0
56269,1,1,1,0,1.0,0.0
56270,8,1,1,0,1.0,0.0
56271,7,3,1,24,1.0,0.2452
56272,100,35,2,214,0.8504,0.4325
56273,67,36,2,37,0.7556,0.0
56274,14,10,2,15,1.0,0.2378
56275,20,1,1,0,1.0,0.0
56276,67,5,1,8,0.75,0.0
56277,15,7,1,7,1.0,0.2279
56278,103,46,2,50,0.8363,0.2523
56279,174,52,1,134,0.5745,0.2936
56280,11,3,1,157,1.0,0.39
56281,23,10,3,10,0.9855,0.2315
56282,76,25,5,4,0.8874,0.0
56283,12,5,1,1,1.0,0.0
56284,48,8,1,105,0.9729,0.3322
56285,8,2,1,3,1.0,0.2225
56286,15,1,1,0,1.0,0.0
56287,5,1,1,0,1.0,0.0
56288,6,5,1,44,1.0,0.2669
56289,10,3,1,4,1.0,0.2238
56290,30,2,1,1,1.0,0.2228
56291,79,44,4,189,0.7147,0.3762
56292,249,36,7,4,0.5903,0.0
56293,136,189,7,55,0.6541,0.2355
56294,2,1,1,0,1.0,0.0
56295,60,23,3,21,0.889,0.2274
56296,2,1,1,0,1.0,0.0
56297,7,1,1,0,1.0,0.0
56298,32,26,3,12,0.9432,0.2263
56299,32,6,1,19,0.9437,0.2305
56300,1314,59,3,104,1.0,0.4885
56301,3,1,1,0,1.0,0.0
56302,15,4,2,3,1.0,0.2246
56303,16,5,5,0,1.0,0.2252
56304,113,73,2,111,0.7303,0.298
56305,24,5,1,55,0.91,0.2613
56306,12,1,1,0,1.0,0.0
56307,1,1,1,0,1.0,0.0
56308,496,654,4,133,0.5742,0.3653
56309,25,46,2,188,0.6557,0.3537
56310,22,2,1,4,1.0,0.2252
56311,1536,401,9,50,0.8147,0.4407
56312,22,6,3,2,0.9058,0.0
56313,1,1,1,0,1.0,0.0
56314,3,3,1,62,1.0,0.286
56315,16,3,1,29,1.0,0.2517
56316,4,1,1,0,1.0,0.0
56317,3,3,1,1,1.0,0.0
56318,5,4,2,1,1.0,0.0
56319,2450,38,6,35,0.9289,0.532
56320,26,12,2,15,0.9295,0.2239
56321,9,9,9,0,0.9524,0.0
56322,27,10,2,6,0.9615,0.0
56323,89,8,1,3,0.0833,0.0
56324,467,12,2,49,0.8939,0.3041
56325,1,1,1,0,1.0,0.0
56326,38,5,2,2,0.8571,0.0
56327,206,95,7,22,0.883,0.2528
56328,66,58,7,8,0.7809,0.0
56329,15,1,1,0,1.0,0.0
56330,12,2,2,0,1.0,0.0
56331,22,10,5,0,0.9348,0.0
56332,10,1,1,0,1.0,0.0
56333,34,13,4,1,0.8214,0.0
56334,88,124,9,16,0.8297,0.225
56335,23,6,2,0,0.0,0.0
56336,204,83,3,44,0.9862,0.2934
56337,12,9,2,3,0.8846,0.0
