time,value
1530248400,5945.72021
1530252000,5916.02979
1530255600,5916.83008
1530259200,5940.43994
1530262800,5933.75
1530266400,5933.180179999999
1530270000,5908.18994
1530273600,5910.2998
1530277200,5882.2998
1530280800,5925.3999
1530284400,5922.259770000001
1530288000,5922.9502
1530291600,5904.27002
1530295200,5904.759770000001
1530298800,5893.240229999999
1530302400,5929.6098600000005
1530306000,5932.72021
1530309600,6286.66992
1530313200,6270.1298799999995
1530316800,6252.7998
1530320400,6503.33008
1530324000,6440.08008
1530327600,6439.319820000001
1530331200,6394.930179999999
1530334800,6412.20996
1530338400,6403.20996
1530342000,6417.1499
1530345600,6412.02979
1530349200,6413.1201200000005
1530352800,6415.069820000001
1530356400,6405.16016
1530360000,6445.1499
1530363600,6401.72998
1530367200,6395.29004
1530370800,6379.43994
1530374400,6378.83984
1530378000,6362.4502
1530381600,6347.7002
1530385200,6332.0498
1530388800,6361.93994
1530392400,6361.47998
1530396000,6342.52979
1530399600,6414.4502
1530403200,6429.5
1530406800,6371.22998
1530410400,6358.9502
1530414000,6362.97998
1530417600,6354.3598600000005
1530421200,6385.08984
1530424800,6395.97998
1530428400,6384.4502
1530432000,6368.91992
1530435600,6372.180179999999
1530439200,6360.930179999999
1530442800,6361.95996
1530446400,6367.45996
1530450000,6351.33984
1530453600,6340.5
1530457200,6317.77979
1530460800,6324.1001
1530464400,6330.490229999999
1530468000,6329.8798799999995
1530471600,6322.240229999999
1530475200,6378.27979
1530478800,6359.6401399999995
1530482400,6371.16016
1530486000,6371.16992
1530489600,6348.29004
1530493200,6340.97021
1530496800,6335.009770000001
1530500400,6334.75
1530504000,6332.8901399999995
1530507600,6309.740229999999
1530511200,6315.930179999999
1530514800,6336.930179999999
1530518400,6351.8501
1530522000,6333.7002
1530525600,6343.0
1530529200,6345.1499
1530532800,6337.77002
1530536400,6665.990229999999
1530540000,6639.1001
1530543600,6636.20996
1530547200,6631.990229999999
1530550800,6622.66016
1530554400,6636.58984
1530558000,6673.70996
1530561600,6631.6298799999995
1530565200,6657.18994
1530568800,6648.6401399999995
1530572400,6625.3598600000005
1530576000,6620.1298799999995
1530579600,6616.77002
1530583200,6641.16992
1530586800,6656.16992
1530590400,6670.2998
1530594000,6650.7998
1530597600,6639.16016
1530601200,6649.6001
1530604800,6645.3999
1530608400,6642.20996
1530612000,6624.6499
1530615600,6596.58984
1530619200,6584.83008
1530622800,6585.9502
1530626400,6586.7998
1530630000,6590.97021
1530633600,6595.2998
1530637200,6591.22021
1530640800,6586.06006
1530644400,6643.93994
1530648000,6628.3701200000005
1530651600,6621.9502
1530655200,6617.31006
1530658800,6525.9502
1530662400,6520.20996
1530666000,6467.490229999999
1530669600,6471.83008
1530673200,6486.509770000001
1530676800,6481.8501
1530680400,6491.45996
1530684000,6501.83008
1530687600,6486.0498
1530691200,6549.25
1530694800,6534.1298799999995
1530698400,6534.41016
1530702000,6531.66016
1530705600,6554.430179999999
1530709200,6777.9702099999995
1530712800,6718.990229999999
1530716400,6706.6401399999995
1530720000,6693.97021
1530723600,6681.240229999999
1530727200,6698.740229999999
1530730800,6688.8598600000005
1530734400,6696.8598600000005
1530738000,6697.319820000001
1530741600,6697.68994
1530745200,6605.66992
1530748800,6594.680179999999
1530752400,6691.319820000001
1530756000,6645.04004
1530759600,6636.009770000001
1530763200,6639.43994
1530766800,6663.91016
1530770400,6612.8999
1530774000,6621.930179999999
1530777600,6627.08008
1530781200,6646.6401399999995
1530784800,6650.5498
1530788400,6685.1499
1530792000,6658.77979
1530795600,6669.180179999999
1530799200,6613.58008
1530802800,6612.6201200000005
1530806400,6638.58008
1530810000,6602.819820000001
1530813600,6588.6201200000005
1530817200,6521.1001
1530820800,6520.33008
1530824400,6511.97998
1530828000,6543.97998
1530831600,6556.259770000001
